asl_gloss,sentence
APPROXIMATION MEMBER STATESLAW RELATE TO TRADE MARK CODIFY VERSION VOTE,approximation of member stateslaws relating to trade marks codified version vote

MAYER REPORT,mayer report

PROTECTION WORKER AGAINST ASBESTOS CODIFY VERSION VOTE,protection of workers against asbestos codified version vote

MAYER REPORT,mayer report

COMMUNITY GUARANTEE TO EIB CODIFY VERSION VOTE,community guarantee to the eib codified version vote

WALLUS REPORT,wallis report

PROTECTION PIG CODIFY VERSION VOTE,protection of pigs codified version vote

WALLUS REPORT,wallis report

DESC-PURE BREED DESC-BOVINE BREED ANIMAL CODIFY VERSION VOTE,pure bred bovine breeding animals codified version vote

MAYER REPORT,mayer report

COMMUNITY TRADE MARK CODIFY VERSION VOTE,community trade mark codified version vote

MAYER REPORT,mayer report

PRODUCTION AND MARKETING EGG CODIFY VERSION VOTE,production and marketing of eggs codified version vote

MAYER REPORT,mayer report

SCRUTINY EUROPEAN DESC-AGRICULTURAL GUARANTEE FUND FINANCING CODIFY VERSION VOTE,scrutiny of european agricultural guarantee fund financing codified version vote

MAYER REPORT,mayer report

MAYER REPORT,mayer report

FISHERY PARTNERSHIP AGREEMENT BETWEEN EC AND Sà# O TOMà?AND PRDCIPE VOTE,fisheries partnership agreement between the ec and são tomé and príncipe vote

CAPOULA SANTO REPORT,capoulas santos report

FISHERY PARTNERSHIP AGREEMENT BETWEEN EC AND KIRIBATUS VOTE,fisheries partnership agreement between the ec and kiribati vote

MORILLON REPORT,morillon report

REQUEST FOR DEFENSE IMMUNITY MARIO BORGHEZIO VOTE,request for defence of the immunity of mario borghezio vote

GARGANUS REPORT,gargani report

DEFINITION  DESCRIPTION  PRESENTATION AND LABEL SPIRIT DRINK VOTE,definition  description  presentation and labelling of spirit drinks vote

SCHNELLHARDT REPORT,schnellhardt report

CAT AND DOG FUR VOTE,cat and dog fur vote

SVENSSON REPORT,svensson report

BROADBAND VOTE,broadband vote

Hà?KMARK REPORT,hökmark report

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 12.55 DESC-P.M. AND RESUME AT 3 DESC-P.M.,the sitting was suspended at 12.55 p.m. and resumed at 3 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MINUTE YESTERDAY X-POSS SIT BE APPROVE,the minutes of yesterday's sitting were approved

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 11.10 DESC-P.M.,the sitting was closed at 11.10 p.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9.00 DESC-A.M.,the sitting was opened at 9.00 a.m.

BAN EXPORT AND DESC-SAFE STORAGE DESC-METALLIC MERCURY VOTE,the banning of exports and the safe storage of metallic mercury vote

PAPADIMOULUS REPORT,papadimoulis report

PORTABILITY DESC-SUPPLEMENTARY PENSION RIGHTS VOTE,portability of supplementary pension rights vote

OOMAN RUIJTEN REPORT,oomen ruijten report

ADOPTION BY CYPRUS DESC-SINGLE CURRENCY ON 1 JANUARY 2008 VOTE,adoption by cyprus of the single currency on 1 january 2008 vote

LANGEN REPORT,langen report

ADOPTION BY MALTA DESC-SINGLE CURRENCY ON 1 JANUARY 2008 VOTE,adoption by malta of the single currency on 1 january 2008 vote

LANGEN REPORT,langen report

GALILEO VOTE,galileo vote

MOTION FOR RESOLUTION GALILEO,motion for a resolution galileo

TRANSPOSITION AND IMPLEMENTATION PUBLIC PROCUREMENT LEGISLATION VOTE,the transposition and implementation of public procurement legislation vote

MCCARTHY REPORT,mccarthy report

IMPROVE METHOD FOR CONSULT PARLIAMENT IN PROCEDURE RELATE TO ENLARGEMENT EURO ZONE VOTE,improving the method for consulting parliament in procedures relating to enlargement of the euro zone vote

MOTION FOR RESOLUTION EURO ZONE,motion for a resolution euro zone

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 1 DESC-P.M. AND RESUME AT 3 DESC-P.M.,the sitting was suspended at 1 p.m. and resumed at 3 p.m.

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 11.25 DESC-P.M.,the sitting was closed at 11.25 p.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 10 DESC-A.M.,the sitting was opened at 10 a.m.

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

TRANSFER APPROPRIATION SEE MINUTE,transfers of appropriations see minutes

EXCHANGE INFORMATION EXTRACT FROM DESC-CRIMINAL RECORD VOTE,exchanges of information extracted from criminal records vote

REPORT DaZ DE MERA GARCa CONSUEGRA,report díaz de mera garcía consuegra

DESC-REGIONAL STRATEGY AND DESC-MULTIANNUAL DESC-INDICATIVE PROGRAM FOR ASIA VOTE,regional strategy and multiannual indicative programme for asia vote

MOTION FOR RESOLUTION,motion for a resolution

TOWARDS ARM TRADE TREATY VOTE,towards an arms trade treaty vote

MOTION FOR RESOLUTION,motion for a resolution

FRAMEWORK DECISION ON COMBATE RACISM AND XENOPHOBIA VOTE,framework decision on combating racism and xenophobia vote

REPORT ROURE,report roure

DECISION MAKE IN DESC-COMMON EUROPEAN ASYLUM SYSTEM VOTE,decision making in the common european asylum system vote

REPORT PIRKER,report pirker

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

COMMUNICATION COUNCIL DESC-COMMON POSITION SEE MINUTE,communication of council common positions see minutes

CALENDAR PART SESSION SEE MINUTE,calendar of part sessions see minutes

THAT CONCLUDE VOTE .,that concludes the vote .

SIT BE SUSPEND AT 1.05 DESC-P.M. AND RESUME AT 3 DESC-P.M.,the sitting was suspended at 1.05 p.m. and resumed at 3 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

DEBATE ON CASE BREACH DESC-HUMAN RIGHTS  DEMOCRACY AND RULE LAW DEBATE,debates on cases of breaches of human rights  democracy and the rule of law debate

DESC-HUMAN RIGHTS IN ETHIOPIUM VOTE,human rights in ethiopia vote

DESC-JOINT MOTION FOR RESOLUTION,joint motion for a resolution

BURMA VOTE,burma vote

DESC-JOINT MOTION FOR RESOLUTION,joint motion for a resolution

VOTE TIME,voting time

NEXT ITEM BE VOTE .,the next item is the vote .

FOR RESULT AND DESC-OR DETAIL ON VOTE  SEE MINUTE .,for the results and other details on the vote  see minutes .

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

DECISION CONCERN DESC-CERTAIN DOCUMENT SEE MINUTE,decisions concerning certain documents see minutes

WRITE STATEMENT FOR ENTRY IN REGISTER RULE 116 SEE MINUTE,written statements for entry in the register rule 116 see minutes

FORWARDING TEXT ADOPT DURING SIT SEE MINUTE,forwarding of texts adopted during the sitting see minutes

DATE FOR NEXT SIT SEE MINUTE,dates for next sittings see minutes

ADJOURNMENT SESSION,adjournment of the session

X-I DECLARE ADJOURN SESSION EUROPEAN PARLIAMENT .,i declare adjourned the session of the european parliament .

SIT BE DESC-CLOSE AT 16.10,the sitting was closed at 16.10

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

DATE FOR NEXT SIT SEE MINUTE,dates for next sittings see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

MEMBERSHIP COMMITTEE SEE MINUTE,membership of committees see minutes

SIGNATURE ACT ADOPT UNDER CODECISION SEE MINUTE,signature of acts adopted under codecision see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

DESC-ORAL QUESTION AND WRITE STATEMENT TABLE SEE MINUTE,oral questions and written statements tabling see minutes

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

WRITE STATEMENT RULE 116 SEE MINUTE,written statements rule 116 see minutes

PETITION SEE MINUTE,petitions see minutes

CALENDAR PART SESSION FOR 2008,calendar of part sessions for 2008

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 11.45 DESC-P.M.,the sitting was closed at 11.45 p.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9.00 DESC-A.M.,the sitting was opened at 9.00 a.m.

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

TRANSFER APPROPRIATION SEE MINUTE,transfers of appropriations see minutes

ELECTION VICE PRESIDENT PARLIAMENT VOTE,election of a vice president of parliament vote

EC ALGERIUM EURO MEDITERRANEAN AGREEMENT VOTE,ec algeria euro mediterranean agreement vote

RECOMMENDATION JACEK SARYUSZ WOLSKUS,recommendation jacek saryusz wolski

EC MOLDOVA PARTNERSHIP AND COOPERATION AGREEMENT VOTE,ec moldova partnership and cooperation agreement vote

REPORT JACEK SARYUSZ WOLSKUS,report jacek saryusz wolski

EC UKRAINE PARTNERSHIP AND COOPERATION AGREEMENT VOTE,ec ukraine partnership and cooperation agreement vote

REPORT JACEK SARYUSZ WOLSKUS,report jacek saryusz wolski

EC ARMENIA PARTNERSHIP AND COOPERATION AGREEMENT VOTE,ec armenia partnership and cooperation agreement vote

REPORT JACEK SARYUSZ WOLSKUS,report jacek saryusz wolski

EC AZERBAIJAN PARTNERSHIP AND COOPERATION AGREEMENT VOTE,ec azerbaijan partnership and cooperation agreement vote

REPORT JACEK SARYUSZ WOLSKUS,report jacek saryusz wolski

EC GEORGIUM PARTNERSHIP AND COOPERATION AGREEMENT VOTE,ec georgia partnership and cooperation agreement vote

REPORT JACEK SARYUSZ WOLSKUS,report jacek saryusz wolski

ACCESSION BULGARIUM AND ROMANIUM TO CONVENTION ON USE INFORMATION TECHNOLOGY FOR CUSTOM PURPOSE VOTE,accession of bulgaria and romania to the convention on the use of information technology for customs purposes vote

REPORT JEAN MARIE CAVADA,report jean marie cavada

UNDERTAKING FOR DESC-COLLECTIVE INVESTMENT IN DESC-TRANSFERABLE SECURITY IMPLEMENT POWER CONFER ON COMMISSION VOTE,undertakings for collective investment in transferable securities implementing powers conferred on the commission vote

REPORT PERVENCHE BERà?X-S,report pervenche berès

DESC-NEW DESC-STATISTICAL CLASSIFICATION PRODUCT BY ACTIVITY CPA VOTE,a new statistical classification of products by activity cpa vote

REPORT GUNTAR KRAST,report guntars krasts

REPORT CORIEN WORTMANN KOOL,report corien wortmann kool

FISHING ACTIVITY IN ANTARCTIC VOTE,fishing activities in the antarctic vote

REPORT ROSA MIGUà?LEZ RAMO,report rosa miguélez ramos

ACCESSION BULGARIUM AND ROMANIUM TO EUROPOL CONVENTION VOTE,accession of bulgaria and romania to the europol convention vote

REPORT GENOWEFA GRABOWSKA,report genowefa grabowska

ACCESSION BULGARIUM AND ROMANIUM TO CONVENTION ON DESC-MUTUAL ASSISTANCE IN DESC-CRIMINAL MATTER VOTE,accession of bulgaria and romania to the convention on mutual assistance in criminal matters vote

REPORT GENOWEFA GRABOWSKA,report genowefa grabowska

ACCESSION BULGARIUM AND ROMANIUM TO CONVENTION ON DRIVE DISQUALIFICATION VOTE,accession of bulgaria and romania to the convention on driving disqualifications vote

REPORT GENOWEFA GRABOWSKA,report genowefa grabowska

REPORT Jà?RG LEICHTFRY,report jörg leichtfried

CORRIGENDUM DESC-NEW RULE DESC-204A PARLIAMENT X-POSS RULE PROCEDURE VOTE,corrigenda new rule 204a of parliament's rules of procedure vote

REPORT RICHARD CORBETT,report richard corbett

APPLICATION AND INTERPRETATION RULE PROCEDURE AMENDMENT RULE 201 VOTE,application and interpretation of the rules of procedure amendment of rule 201 vote

REPORT RICHARD CORBETT,report richard corbett

IMMUNITY AND PRIVILEGE ALESSANDRA MUSSOLINUS VOTE,immunity and privileges of alessandra mussolini vote

REPORT KLAUS HEINER LEHNE,report klaus heiner lehne

REQUEST FOR DEFENSE IMMUNITY ASHLEY MOTE VOTE,request for defence of the immunity of ashley mote vote

REPORT FRANCESCO ENRICO SPERONUS,report francesco enrico speroni

DRAFT AMEND BUDGET NO 4 2007 VOTE,draft amending budget no 4 / 2007 vote

REPORT JAME ELLE,report james elles

TRANSLATION EXPENDITURE VOTE,translation expenditure vote

REPORT ALEXANDER STUBB,report alexander stubb

MINIMIZE DESC-ADMINISTRATIVE COST IMPOSE BY LEGISLATION VOTE,minimising administrative costs imposed by legislation vote

REPORT JAN MULDER,report jan mulder

LAW DESC-APPLICABLE TO NON DESC-CONTRACTUAL OBLIGATION ROME IUS VOTE,law applicable to non contractual obligations rome ii vote

REPORT DIANA WALLUS,report diana wallis

COMMUNITY ACTION PROGRAM IN FIELD HEALTH 2007 2013 VOTE,community action programme in the field of health 2007 2013 vote

RECOMMENDATION FOR DESC-SECOND READING ANTONIO TRAKATELLUS,recommendation for second reading antonios trakatellis

MEASURE DEVICE CONTAIN MERCURY VOTE,measuring devices containing mercury vote

RECOMMENDATION FOR DESC-SECOND READING SORNOSA MARTDEZ,recommendation for second reading sornosa martínez

FOOD ADDITIVE VOTE,food additives vote

REPORT àŠSA WESTLUND,report åsa westlund

FOOD ENZYME VOTE,food enzymes vote

REPORT AVRIL DOYLE,report avril doyle

FLAVORING AND FOOD INGREDIENT WITH FLAVORING PROPERTY FOR USE IN AND ON FOOD VOTE,flavourings and food ingredients with flavouring properties for use in and on foods vote

REPORT MOJCA DRcAR MURKO,report mojca drčar murko

DESC-3EUROPEAN DESC-CRITICAL INFRASTRUCTURE VOTE,3european critical infrastructure vote

REPORT JEANINE HENNUS PLASSCHAERT,report jeanine hennis plasschaert

VOTE TIME,voting time

NEXT ITEM BE VOTE .,the next item is the vote .

FOR RESULT AND DESC-OR DETAIL ON VOTE  SEE MINUTE .,for the results and other details on the vote  see minutes .

CONVENE DESC-INTERGOVERNMENTAL CONFERENCE OPINION EUROPEAN PARLIAMENT DEADLINE FOR TABLE AMENDMENT SEE MINUTE,convening of the intergovernmental conference opinion of the european parliament deadline for tabling amendments see minutes

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 1.15 DESC-P.M. AND RESUME AT 3.05 DESC-P.M.,the sitting was suspended at 1.15 p.m. and resumed at 3.05 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 12 MIDNIGHT,the sitting was closed at 12 midnight

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9.05 DESC-A.M.,the sitting was opened at 9.05 a.m.

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

PNR AGREEMENT WITH UNITE STATE MOTION FOR RESOLUTION TABLE SEE MINUTE,pnr agreement with the united states motions for resolutions tabled see minutes

CALENDAR PART SESSION FOR 2008 VOTE,calendar of part sessions for 2008 vote

MERGER AND DIVISION PUBLIC DESC-LIMITED COMPANY VOTE,mergers and division of public limited companies vote

REPORT KAUPPUS,report kauppi

COMMUNITY ACTION IN FIELD WATER POLICY VOTE,community action in the field of water policy vote

REPORT LIENEMANN,report lienemann

END LIFE VEHICLE VOTE,end of life vehicles vote

REPORT FLORENZ,report florenz

WASTE DESC-ELECTRICAL AND DESC-ELECTRONIC EQUIPMENT VOTE,waste electrical and electronic equipment vote

REPORT FLORENZ,report florenz

DESC-HAZARDOUS SUBSTANCE IN DESC-ELECTRICAL AND DESC-ELECTRONIC EQUIPMENT VOTE,hazardous substances in electrical and electronic equipment vote

REPORT FLORENZ,report florenz

ECODESIGN REQUIREMENT FOR ENERGY USE PRODUCT VOTE,ecodesign requirements for energy using products vote

REPORT RIE,report ries

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 2.25 DESC-P.M. AND RESUME AT 3.05 DESC-P.M.,the sitting was suspended at 2.25 p.m. and resumed at 3.05 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT DESC-CLOSE AT 23.35,the sitting closed at 23.35

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9.30 DESC-A.M.,the sitting was opened at 9.30 a.m.

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

BUDGET CALENDAR SEE MINUTE,budget calendar see minutes

COMMUNITY DESC-STATISTICAL PROGRAM 2008 2012 VOTE,community statistical programme 2008 2012 vote

BECSEY REPORT,becsey report

DESC-FIRST RAILWAY PACKAGE VOTE,first railway package vote

CRAMER REPORT,cramer report

ACTION TO TACKLE DESC-CARDIOVASCULAR DISEASE VOTE,action to tackle cardiovascular disease vote

MOTION FOR RESOLUTION,motion for a resolution

EUROZONE 2007 VOTE,eurozone 2007 vote

ROSATUS REPORT,rosati report

EUROPEAN DESC-CENTRAL BANK 2006 VOTE,european central bank 2006 vote

MITCHELL REPORT,mitchell report

PALESTINE VOTE,palestine vote

DESC-JOINT MOTION FOR RESOLUTION,joint motion for a resolution

TRIP AGREEMENT AND ACCESS TO MEDICINE VOTE,trips agreement and access to medicines vote

MOTION FOR RESOLUTION,motion for a resolution

DESC-DEMOCRATIC SCRUTINY UNDER DEVELOPMENT COOPERATION INSTRUMENT VOTE,democratic scrutiny under the development cooperation instrument vote

MOTION FOR RESOLUTION,motion for a resolution

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

DEBATE ON CASE BREACH DESC-HUMAN RIGHTS  DEMOCRACY AND RULE LAW DEBATE,debates on cases of breaches of human rights  democracy and the rule of law debate

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

APPROVAL BY COUNCIL PARLIAMENT X-POSS POSITION ADOPT AT DESC-FIRST READING RULE 66 SEE MINUTE,approval by the council of parliament's positions adopted at first reading rule 66 see minutes

DECISION CONCERN DESC-CERTAIN DOCUMENT SEE MINUTE,decisions concerning certain documents see minutes

TRANSFER APPROPRIATION SEE MINUTE,transfers of appropriations see minutes

WRITE STATEMENT FOR ENTRY IN REGISTER RULE 116 SEE MINUTE,written statements for entry in the register rule 116 see minutes

FORWARDING TEXT ADOPT DURING SIT SEE MINUTE,forwarding of texts adopted during the sitting see minutes

DATE FOR NEXT SIT SEE MINUTE,dates for next sittings see minutes

ADJOURNMENT SESSION,adjournment of the session

X-I DECLARE SIT ADJOURN .,i declare the sitting adjourned .

SIT BE DESC-CLOSE AT 4.20 DESC-P.M.,the sitting was closed at 4.20 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

SIGNATURE ACT ADOPT UNDER CODECISION SEE MINUTE,signature of acts adopted under codecision see minutes

COMMUNICATION COUNCIL DESC-COMMON POSITION SEE MINUTE,communication of council common positions see minutes

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

PETITION SEE MINUTE,petitions see minutes

TRANSFER APPROPRIATION SEE MINUTE,transfers of appropriations see minutes

DESC-ORAL QUESTION AND WRITE DECLARATION TABLE SEE MINUTE,oral questions and written declarations tabling see minutes

ACTION TAKE ON PARLIAMENT X-POSS POSITION AND RESOLUTION SEE MINUTE,action taken on parliament's positions and resolutions see minutes

ORDER BUSINESS SEE MINUTE,order of business see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 9.45 DESC-P.M.,the sitting was closed at 9.45 p.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 09.00,the sitting was opened at 09.00

REPORT GERARDO GALEOTE,report gerardo galeote

EUROPOL ANALYSIS FILE VOTE,europol analysis files vote

REPORT AGUSTD DaZ DE MERA GARCa CONSUEGRA,report agustín díaz de mera garcía consuegra

DESC-BETTER REGULATION IN EUROPEAN UNION VOTE,better regulation in the european union vote

REPORT KATALIN Là?VAI,report katalin lévai

DESC-BETTER LAW MAKE 2005 SUBSIDIARITY AND PROPORTIONALITY VOTE,better law making 2005 subsidiarity and proportionality vote

REPORT BERT DOORN,report bert doorn

SIMPLIFICATION DESC-REGULATORY ENVIRONMENT VOTE,simplification of the regulatory environment vote

REPORT GIUSEPPE GARGANUS,report giuseppe gargani

USE OFSOFT LAW VOTE,use ofsoft law vote

REPORT MANUEL MEDINA ORTEGA,report manuel medina ortega

VOTE TIME,voting time

NEXT ITEM BE VOTE .,the next item is the vote .

FOR RESULT AND DESC-OR DETAIL ON VOTE SEE MINUTE,for the results and other details on the vote see minutes

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

SIT BE SUSPEND AT 19.35 AND RESUME AT 21.00,the sitting was suspended at 19.35 and resumed at 21.00

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 23.40,the sitting was closed at 23.40

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9.05 DESC-A.M.,the sitting was opened at 9.05 a.m.

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

BALANCE FISHING CAPACITY AND FISHING OPPORTUNITY VOTE,balancing fishing capacity and fishing opportunities vote

REPORT CASACA,report casaca

DRAFT AMEND BUDGET NO 5 2007 VOTE,draft amending budget no 5 / 2007 vote

REPORT ELLE,report elles

DESC-INLAND TRANSPORT DESC-DANGEROUS GOODS VOTE,inland transport of dangerous goods vote

REPORT LIBERADZKUS,report liberadzki

DESC-DEHYDRATED PRESERVE MILK FOR DESC-HUMAN CONSUMPTION VOTE,dehydrated preserved milk for human consumption vote

REPORT JEGGLE,report jeggle

DESC-COMMON ORGANIZATION MILK AND MILK PRODUCT MARKET VOTE,common organisation of the milk and milk products market vote

REPORT JEGGLE,report jeggle

RESTRICTION IMPOSE BY EU ON LIQUID THAT PASSENGER CAN TAKE ON BOARD AEROPLANE VOTE,restrictions imposed by the eu on liquids that passengers can take on board aeroplanes vote

RESOLUTION,resolution

FREIGHT TRANSPORT LOGISTICS IN EUROPE AND DESC-SUSTAINABLE MOBILITY VOTE,freight transport logistics in europe and sustainable mobility vote

REPORT AYALUM SENDER,report ayala sender

EURE ACTIVITY REPORT 2004 2005 TOWARDS DESC-SINGLE EUROPEAN LABOR MARKET VOTE,eures activity report 2004 2005 towards a single european labour market vote

RESOLUTION,resolution

REDUCE ALCOHOL RELATE HARM VOTE,reducing alcohol related harm vote

REPORT FOGLIETTA,report foglietta

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 12.55 DESC-P.M. AND RESUME AT 3 DESC-P.M.,the sitting was suspended at 12.55 p.m. and resumed at 3 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 11.25 DESC-P.M.,the sitting was closed at 11.25 p.m.

PRIMATE IN DESC-SCIENTIFIC EXPERIMENT WRITE DECLARATION SEE MINUTE,primates in scientific experiments written declaration see minutes

DESC-INTERNATIONAL HEALTH REGULATION VOTE,international health regulations vote

OUZKà12 REPORT,ouzký report

CONVENTION ON FIGHT AGAINST DESERTIFICATION VOTE,convention on the fight against desertification vote

RESOLUTION,resolution

DESC-HUMAN RIGHTS DIALOGUE AND CONSULTATION ON DESC-HUMAN RIGHTS WITH DESC-THIRD COUNTRY VOTE,human rights dialogues and consultations on human rights with third countries vote

MARTDEZ OROZCO REPORT,martínez orozco report

SUSTAINABILITY IN EU FISHERY THROUGH MAXIMUM DESC-SUSTAINABLE YIELD VOTE,sustainability in eu fisheries through maximum sustainable yield vote

FRAGA ESTà?VEZ REPORT,fraga estévez report

REVIEW CONSUMER ACQUI VOTE,review of the consumer acquis vote

PATRIE REPORT,patrie report

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 12.25 DESC-P.M. AND RESUME AT 3 DESC-P.M.,the sitting was suspended at 12.25 p.m. and resumed at 3 p.m.

COMMUNICATION COUNCIL DESC-COMMON POSITION SEE MINUTE,communication of council common positions see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

DEBATE ON CASE BREACH DESC-HUMAN RIGHTS  DEMOCRACY AND RULE LAW DEBATE,debates on cases of breaches of human rights  democracy and the rule of law debate

BURMA VOTE,burma vote

RESOLUTION ON BURMA,resolution on burma

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

DECISION CONCERN DESC-CERTAIN DOCUMENT SEE MINUTE,decisions concerning certain documents see minutes

WRITE DECLARATION FOR ENTRY IN REGISTER RULE 116 SEE MINUTE,written declarations for entry in the register rule 116 see minutes

FORWARDING TEXT ADOPT DURING SIT SEE MINUTE,forwarding of texts adopted during the sitting see minutes

DATE FOR NEXT SIT SEE MINUTE,dates for next sittings see minutes

ADJOURNMENT SESSION,adjournment of the session

X-I DECLARE SESSION EUROPEAN PARLIAMENT ADJOURN .,i declare the session of the european parliament adjourned .

SIT BE DESC-CLOSE AT 4.20 DESC-P.M.,the sitting was closed at 4.20 p.m.

